"drug","gene"
"DB00454","KCNH2"
"DB00489","KCNH2"
"DB00590","KCNH2"
"DB08239","KCNH2"
"DB00490","KCNH2"
"DB00661","KCNH2"
"DB00762","TOP1MT"
"DB01030","TOP1MT"
"DB00219","CHRM1"
"DB01403","CHRM1"
"DB00508","CHRM1"
"DB01239","CHRM1"
"DB00809","CHRM1"
"DB01071","CHRM1"
"DB00392","CHRM1"
"DB00782","CHRM1"
"DB01142","CHRM1"
"DB01231","CHRM1"
"DB00408","CHRM1"
"DB00777","CHRM1"
"DB00804","CHRM1"
"DB00366","CHRM1"
"DB00835","CHRM1"
"DB01069","CHRM1"
"DB00934","CHRM1"
"DB00334","CHRM1"
"DB00505","CHRM1"
"DB03128","CHRM1"
"DB09000","CHRM1"
"DB01085","CHRM1"
"DB00246","CHRM1"
"DB01036","CHRM1"
"DB00202","CHRM1"
"DB00805","CHRM1"
"DB00907","CHRM1"
"DB00434","CHRM1"
"DB00875","CHRM1"
"DB01151","CHRM1"
"DB01233","CHRM1"
"DB00767","CHRM1"
"DB00785","CHRM1"
"DB00771","CHRM1"
"DB00383","CHRM1"
"DB01062","CHRM1"
"DB00411","CHRM1"
"DB01019","CHRM1"
"DB00321","CHRM1"
"DB08897","CHRM1"
"DB00810","CHRM1"
"DB01148","CHRM1"
"DB01175","CHRM1"
"DB00342","CHRM1"
"DB00354","CHRM1"
"DB00340","CHRM1"
"DB00185","CHRM1"
"DB00940","CHRM1"
"DB01409","CHRM1"
"DB00387","CHRM1"
"DB00215","CHRM1"
"DB00376","CHRM1"
"DB00332","CHRM1"
"DB01224","CHRM1"
"DB00933","CHRM1"
"DB00670","CHRM1"
"DB00747","CHRM1"
"DB00462","CHRM1"
"DB00458","CHRM1"
"DB00979","CHRM1"
"DB00285","CHRM1"
"DB06709","CHRM1"
"DB00734","CHRM1"
"DB06702","CHRM1"
"DB01618","CHRM1"
"DB00715","CHRM1"
"DB06731","CHRM1"
"DB00424","CHRM1"
"DB01075","CHRM1"
"DB00363","CHRM1"
"DB00622","CHRM1"
"DB00942","CHRM1"
"DB01173","CHRM1"
"DB00420","CHRM1"
"DB00245","CHRM1"
"DB00280","CHRM1"
"DB04946","CHRM1"
"DB00986","CHRM1"
"DB00540","CHRM1"
"DB04843","CHRM1"
"DB00209","CHRM1"
"DB00572","CHRM1"
"DB00725","CHRM1"
"DB00517","CHRM1"
"DB04365","CHRM1"
"DB00543","CHRM1"
"DB00483","CHRM1"
"DB00496","CHRM1"
"DB01591","CHRM1"
"DB00472","CHRM1"
"DB01238","CHRM1"
"DB00157","NDUFS6"
"DB00486","CNR2"
"DB00470","CNR2"
"DB00382","CNR2"
"DB06155","CNR2"
"DB00157","MSMO1"
"DB00119","PDHB"
"DB00157","PDHB"
"DB00157","LDHAL6B"
"DB00118","AMD1"
"DB08163","AMD1"
"DB03754","AMD1"
"DB01917","AMD1"
"DB00119","AGXT2"
"DB00145","AGXT2"
"DB00114","AGXT2"
"DB00160","AGXT2"
"DB00973","SOAT1"
"DB01094","SOAT1"
"DB02944","CEACAM1"
"DB00113","CEACAM1"
"DB00141","RENBP"
"DB00374","P2RY12"
"DB08816","P2RY12"
"DB06209","P2RY12"
"DB01240","P2RY12"
"DB00261","P2RY12"
"DB00208","P2RY12"
"DB01142","HRH2"
"DB00321","HRH2"
"DB05381","HRH2"
"DB01242","HRH2"
"DB05891","HRH2"
"DB00272","HRH2"
"DB00458","HRH2"
"DB01151","HRH2"
"DB00540","HRH2"
"DB06148","HRH2"
"DB00667","HRH2"
"DB00751","HRH2"
"DB00585","HRH2"
"DB00501","HRH2"
"DB00863","HRH2"
"DB00927","HRH2"
"DB08805","HRH2"
"DB08806","HRH2"
"DB00940","HRH2"
"DB03222","POLB"
"DB00987","POLB"
"DB07479","POLB"
"DB04272","APRT"
"DB00173","APRT"
"DB03506","APRT"
"DB01632","APRT"
"DB08675","PTGIS"
"DB00812","PTGIS"
"DB01240","PTGIS"
"DB01599","ABCA1"
"DB01016","ABCA1"
"DB00171","ABCA1"
"DB03271","TPH1"
"DB00360","TPH1"
"DB06898","ESR1"
"DB06927","ESR1"
"DB07638","ESR1"
"DB07708","ESR1"
"DB07195","ESR1"
"DB02709","ESR1"
"DB01183","ESR1"
"DB00421","ESR1"
"DB08773","ESR1"
"DB07485","ESR1"
"DB08595","ESR1"
"DB00269","ESR1"
"DB05414","ESR1"
"DB00890","ESR1"
"DB07150","ESR1"
"DB07198","ESR1"
"DB06871","ESR1"
"DB08047","ESR1"
"DB00603","ESR1"
"DB06875","ESR1"
"DB00882","ESR1"
"DB07567","ESR1"
"DB08737","ESR1"
"DB07707","ESR1"
"DB07352","ESR1"
"DB01065","ESR1"
"DB00304","ESR1"
"DB00957","ESR1"
"DB08020","ESR1"
"DB08048","ESR1"
"DB07991","ESR1"
"DB00675","ESR1"
"DB07810","ESR1"
"DB03742","ESR1"
"DB02615","ESR1"
"DB00255","ESR1"
"DB08320","ESR1"
"DB06832","ESR1"
"DB04575","ESR1"
"DB00977","ESR1"
"DB03802","ESR1"
"DB07932","ESR1"
"DB00396","ESR1"
"DB01431","ESR1"
"DB00783","ESR1"
"DB07933","ESR1"
"DB00539","ESR1"
"DB07502","ESR1"
"DB07036","ESR1"
"DB00823","ESR1"
"DB06713","ESR1"
"DB00367","ESR1"
"DB04573","ESR1"
"DB00481","ESR1"
"DB07230","ESR1"
"DB07119","ESR1"
